564.0,569.0,574.0,579.0,584.0,589.0,594.0,599.0,604.0,609.0,614.0,619.0,624.0,629.0,634.0,639.0,644.0,649.0,654.0,659.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2
1,1,1,2,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,2
1,0,2,2,0,1,2,0,0,1,0,0,2,0,0,0,2,2,1,2
2,0,3,3,0,0,2,0,0,2,0,2,2,0,0,1,3,2,2,3
4,0,3,4,1,1,1,3,2,1,1,3,2,1,0,3,2,3,2,3
4,1,4,2,3,3,2,4,4,1,2,3,3,3,1,2,2,4,1,2
3,2,4,2,4,5,4,4,4,2,3,4,4,2,0,3,3,4,1,2
3,2,4,3,5,5,4,4,5,3,4,5,3,3,1,3,4,4,1,4
2,2,5,4,6,5,4,6,4,4,5,6,3,2,1,5,5,4,1,4
1,3,4,3,6,6,4,5,2,3,7,8,2,2,2,4,5,3,2,5
1,3,3,3,6,8,7,5,1,4,4,8,3,2,3,4,5,3,4,5
1,4,2,3,6,6,6,5,1,4,5,6,2,3,2,4,4,3,2,4
1,4,3,3,4,3,4,4,1,3,4,7,3,4,4,3,4,3,2,4
1,4,2,3,4,2,4,3,2,1,4,5,3,4,5,3,4,2,2,3
1,3,2,3,3,2,3,2,2,1,4,4,2,3,5,3,5,2,3,3
0,1,2,2,2,2,3,1,1,2,3,4,2,3,5,2,5,2,3,3
2,2,1,3,1,2,2,3,1,2,3,2,1,3,3,2,5,2,2,2
2,2,1,2,0,2,1,3,2,1,3,2,1,2,1,2,2,2,1,2
2,2,1,2,0,2,0,1,2,1,2,2,1,2,1,2,2,2,1,1
2,2,1,2,0,1,0,1,3,0,2,2,1,2,1,1,1,2,1,1
2,1,1,2,0,1,0,1,2,0,2,1,1,2,1,1,0,1,1,1
2,2,1,2,0,1,0,1,2,0,2,1,2,2,1,1,0,1,1,0
2,2,1,1,0,1,0,1,2,0,2,1,2,2,1,1,0,1,2,0
2,2,0,0,0,1,0,1,2,0,2,0,2,2,1,1,0,1,1,0
2,2,0,0,0,1,0,1,2,0,2,0,2,0,1,0,0,1,1,0
2,2,0,0,0,1,0,1,2,0,0,0,2,0,0,0,0,0,1,0
2,2,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0
