693.0,698.0,703.0,708.0,713.0,718.0,723.0,728.0,733.0,738.0,743.0,748.0,753.0,758.0,763.0,768.0,773.0,778.0,783.0,788.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
0,1,1,1,2,1,0,1,0,0,0,0,2,0,0,1,1,0,0,0
0,1,1,2,1,1,0,1,0,1,0,0,3,0,0,3,2,1,0,0
1,1,2,2,0,1,0,2,0,0,0,2,4,1,1,3,1,1,0,1
2,1,3,3,1,1,0,2,2,1,1,4,5,1,1,3,1,0,0,1
2,2,3,3,1,2,1,3,3,1,3,3,4,2,2,3,1,1,0,2
4,3,4,3,1,2,1,3,2,2,4,4,3,2,2,3,1,1,1,2
4,7,4,3,2,1,6,3,3,2,4,5,2,2,2,3,2,2,1,3
5,5,6,2,3,2,6,3,3,1,3,3,2,3,2,4,3,3,1,3
5,4,4,3,2,4,6,0,2,2,3,1,3,3,3,4,2,3,1,3
4,4,4,2,4,4,5,1,0,3,3,3,3,4,2,4,3,3,1,3
4,4,4,2,4,4,4,2,1,2,3,3,2,5,2,4,3,2,1,1
4,5,5,2,4,4,4,2,1,0,4,2,2,6,2,4,2,1,0,3
3,3,3,1,5,3,3,1,1,1,3,1,2,4,2,3,1,0,1,3
3,3,4,2,5,2,4,2,2,1,3,1,2,2,2,3,1,1,3,2
2,1,2,1,5,1,4,2,2,1,3,1,1,2,2,4,1,1,2,2
2,0,2,0,5,0,1,1,1,1,1,1,1,2,2,4,2,1,2,2
2,1,2,0,4,1,1,1,0,2,1,1,1,2,3,3,2,1,3,2
1,0,1,0,2,1,1,2,1,2,0,1,0,1,3,2,2,1,3,2
1,0,1,0,1,1,1,2,1,3,0,1,0,1,2,1,2,1,1,1
1,0,1,0,0,1,1,2,0,2,0,1,0,1,1,1,2,1,1,0
1,0,1,0,0,1,1,2,0,2,0,1,0,1,2,1,2,1,1,0
1,0,1,0,0,1,1,2,0,1,0,1,0,1,2,1,1,1,1,0
1,0,0,0,0,1,1,2,0,1,0,1,0,1,2,1,1,1,1,0
0,0,0,0,0,1,0,1,0,1,0,1,0,1,2,0,1,1,0,0
0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
