676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0
0,0,0,1,1,0,1,1,2,2,0,0,0,1,0,0,0,0,1,0
1,0,1,1,1,0,2,2,3,2,1,1,1,1,1,1,1,0,2,1
1,2,1,1,1,0,3,3,2,1,2,1,2,1,2,2,2,2,1,1
2,2,0,2,1,0,6,4,4,4,1,2,2,3,2,5,2,2,1,1
3,3,1,3,1,0,4,5,4,6,3,3,4,5,2,2,6,5,1,1
3,3,2,3,2,2,4,5,5,5,3,3,5,6,3,2,7,4,1,1
6,2,3,4,2,4,4,5,3,5,3,3,5,6,2,3,9,4,1,2
6,2,4,4,4,3,4,6,3,5,4,6,6,4,2,4,8,3,2,3
6,3,7,4,5,3,4,2,4,4,4,6,4,3,3,4,7,4,1,5
3,3,7,4,4,4,4,2,2,4,4,5,5,3,3,4,6,4,3,4
2,5,6,3,2,4,3,3,2,4,4,5,3,3,2,4,5,4,2,4
3,5,6,2,3,3,1,4,4,3,4,2,2,5,2,1,3,3,1,3
3,5,5,3,2,2,1,4,3,1,3,2,2,4,1,1,2,1,2,2
3,4,3,2,2,1,1,3,3,2,2,2,1,3,1,1,2,0,2,2
3,4,2,2,2,1,1,2,3,2,2,2,1,1,1,1,2,0,2,2
3,3,1,2,1,1,0,2,3,1,1,0,1,0,2,1,2,0,2,1
3,3,1,2,1,2,0,1,2,0,1,1,1,0,2,1,2,0,2,1
1,2,0,2,0,2,0,1,1,0,0,1,0,0,2,1,1,0,2,0
1,1,0,0,0,0,0,1,1,0,0,1,0,0,2,1,0,0,2,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1
1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1
1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
