1513.0,1518.0,1523.0,1528.0,1533.0,1538.0,1543.0,1548.0,1553.0,1558.0,1563.0,1568.0,1573.0,1578.0,1583.0,1588.0,1593.0,1598.0,1603.0,1608.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1,2,1,0,1,1,3,1,0,0,0,1,0,0,1,0,0,0,0,0
1,1,3,0,2,1,3,2,0,1,0,1,0,1,0,1,3,2,0,1
1,1,2,0,3,2,3,4,1,3,1,0,0,1,0,1,3,3,0,2
2,0,2,1,3,1,3,5,1,3,1,0,0,2,0,1,4,4,1,2
2,4,2,2,3,1,2,3,1,3,1,1,1,3,0,1,3,2,2,3
1,3,2,2,2,1,2,2,1,2,1,1,2,2,0,1,5,3,2,3
1,3,4,2,3,3,2,3,2,2,2,2,1,2,0,1,4,3,3,3
1,3,3,2,4,3,2,3,1,2,1,2,1,2,0,1,4,3,4,3
2,2,5,3,4,2,1,3,2,1,2,2,2,1,1,1,4,3,4,2
1,2,4,2,5,4,1,2,2,0,2,1,3,1,1,2,4,4,4,3
1,2,2,1,5,4,1,2,3,0,3,0,2,1,1,3,4,3,4,4
3,2,1,2,4,4,1,2,2,0,3,0,2,1,1,4,4,2,3,2
4,1,1,2,2,3,2,2,2,0,3,0,3,2,1,4,2,2,2,1
4,1,2,1,2,1,2,2,3,0,3,0,2,2,1,3,2,2,1,2
2,1,1,1,1,1,2,1,3,0,3,0,2,2,2,3,1,2,1,3
1,1,1,1,1,1,1,1,3,0,2,0,1,2,1,2,0,2,2,2
1,1,1,1,0,1,1,1,1,1,2,0,1,2,0,2,0,2,2,2
1,1,1,0,0,1,1,1,0,1,1,0,0,2,0,2,0,1,2,1
1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1
1,0,1,0,0,1,0,1,0,0,1,0,0,2,0,1,1,1,1,1
1,0,1,1,0,1,0,1,0,0,1,1,1,2,0,1,1,1,1,1
1,0,0,1,0,1,0,1,0,0,1,0,1,2,1,1,1,1,1,1
1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1
2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
