1277.0,1282.0,1287.0,1292.0,1297.0,1302.0,1307.0,1312.0,1317.0,1322.0,1327.0,1332.0,1337.0,1342.0,1347.0,1352.0,1357.0,1362.0,1367.0,1372.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
0,2,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0
0,2,0,0,0,1,1,1,0,0,1,1,1,0,2,2,0,0,0,0
0,1,0,0,0,1,1,2,1,0,1,3,0,1,1,3,0,1,0,0
2,0,0,1,0,2,2,2,4,1,1,5,0,0,1,3,1,2,1,1
4,3,1,2,1,3,3,5,4,3,2,4,1,0,2,3,2,4,1,1
5,0,1,1,1,2,2,4,4,3,2,3,1,0,3,5,4,6,3,1
4,1,4,4,4,3,4,4,3,4,2,2,0,2,3,5,6,7,3,2
5,3,5,4,5,3,4,5,3,5,2,2,1,3,4,3,6,9,5,4
3,5,6,5,5,4,3,5,3,4,2,2,3,5,2,3,3,8,5,5
3,4,5,6,6,5,2,6,5,6,2,3,3,4,3,5,3,6,3,4
3,5,3,7,3,4,1,6,7,8,2,4,2,4,4,2,2,7,3,6
3,5,1,6,3,4,3,5,7,8,4,3,2,4,4,3,3,8,3,4
3,5,2,6,4,4,3,6,4,7,3,3,3,2,4,5,4,7,3,5
3,4,1,2,6,3,4,6,4,8,3,5,2,3,5,4,4,6,3,4
2,3,1,3,6,3,4,6,4,4,3,4,2,3,3,1,3,6,3,3
3,1,2,4,6,4,4,5,2,3,3,2,3,3,4,1,3,4,4,3
3,1,2,3,4,2,3,4,1,2,3,2,2,2,4,1,3,4,3,2
2,1,2,2,2,1,4,2,1,2,3,3,2,2,3,1,2,2,3,2
2,1,1,2,2,1,3,1,1,1,2,3,2,1,3,0,2,1,2,1
2,1,1,2,2,0,3,1,1,0,1,2,2,1,2,0,2,0,1,0
2,0,1,1,2,0,2,1,0,0,2,1,2,1,2,0,2,0,1,0
2,0,2,1,2,0,2,0,0,0,1,1,3,1,2,0,2,0,0,0
1,0,2,1,2,0,2,0,0,0,0,1,2,1,1,0,2,0,0,0
0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0
1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
