996.0,1001.0,1006.0,1011.0,1016.0,1021.0,1026.0,1031.0,1036.0,1041.0,1046.0,1051.0,1056.0,1061.0,1066.0,1071.0,1076.0,1081.0,1086.0,1091.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,1,0
1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0
2,1,0,0,0,2,0,0,0,2,1,0,2,0,1,0,0,0,0,0
1,1,0,0,1,2,0,0,1,1,1,0,5,2,1,0,2,0,0,1
2,1,1,0,1,2,1,1,2,1,1,0,4,2,2,1,5,1,2,3
1,1,3,2,1,0,2,2,6,2,1,1,3,5,5,3,3,1,3,3
1,3,5,2,1,2,6,4,7,3,3,3,2,6,4,2,6,1,5,5
1,4,7,5,1,5,5,6,8,7,3,6,2,5,6,8,10,5,5,8
4,5,7,5,2,6,5,6,8,8,3,7,4,4,6,8,7,8,7,6
7,6,7,5,2,7,8,6,5,5,6,5,3,5,6,8,5,8,8,6
8,6,6,8,3,8,7,6,6,6,6,5,4,4,4,9,4,5,7,6
7,4,5,8,3,9,6,7,5,6,6,4,4,3,5,10,3,8,5,6
7,3,7,6,4,4,8,6,6,3,5,2,2,2,4,8,4,6,5,3
6,3,5,6,5,4,5,5,5,3,4,2,3,2,4,5,5,5,6,3
5,3,4,6,4,7,3,2,4,3,3,2,4,0,3,3,4,2,4,3
4,5,5,6,5,7,1,1,2,1,2,1,4,0,3,3,0,2,1,3
3,5,4,4,2,4,2,1,1,1,2,2,4,0,3,2,0,2,1,3
3,4,4,3,2,4,1,1,1,1,2,2,2,0,1,2,0,0,0,1
1,4,3,3,2,3,1,0,1,1,2,2,2,0,0,0,0,0,0,2
1,0,3,1,1,1,1,0,0,2,1,2,0,0,1,0,0,0,0,2
1,0,3,1,1,1,1,0,1,1,1,2,0,0,2,0,0,0,1,2
1,0,3,0,0,1,0,0,1,2,1,1,2,0,2,0,0,0,1,1
1,0,1,0,0,0,0,0,1,1,1,1,2,0,2,0,0,0,1,1
0,0,1,0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,1,1
0,0,0,0,1,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
