1335.0,1340.0,1345.0,1350.0,1355.0,1360.0,1365.0,1370.0,1375.0,1380.0,1385.0,1390.0,1395.0,1400.0,1405.0,1410.0,1415.0,1420.0,1425.0,1430.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,1,0,0,0,0,1,0,1,0,0,0,1,0,2,0,1,0,0,0
1,4,2,0,0,2,1,0,1,1,0,0,4,1,2,0,1,1,1,0
2,6,2,0,0,5,0,1,2,3,3,1,4,2,2,3,2,1,1,0
4,5,3,3,2,5,1,2,1,3,6,1,4,2,3,2,3,1,2,3
5,4,3,4,3,9,1,2,2,4,5,1,4,3,3,2,6,2,4,2
6,2,7,4,6,9,4,2,4,3,5,3,3,3,3,1,6,2,6,3
5,2,7,4,5,8,4,2,5,4,6,3,3,5,3,1,8,2,7,2
4,2,7,4,4,7,4,3,3,4,5,5,4,3,2,2,6,2,7,5
5,2,5,5,3,8,7,4,4,4,6,6,3,4,2,3,6,3,6,5
4,2,6,6,4,8,8,4,4,2,4,7,3,3,2,3,7,4,4,5
2,2,5,6,3,4,8,4,5,2,4,6,2,4,1,2,7,5,4,7
3,4,5,5,3,5,7,4,6,3,4,5,2,3,1,1,6,5,3,5
2,4,5,2,4,4,4,3,4,5,4,2,3,2,1,2,5,3,3,5
3,4,5,1,4,3,4,2,3,5,3,1,2,3,1,2,4,3,3,3
2,1,4,1,3,3,2,4,2,4,3,1,2,3,3,2,3,1,2,3
1,1,2,2,3,4,2,2,2,4,3,0,2,2,3,1,0,1,2,1
1,1,1,1,2,3,2,2,2,3,2,0,1,1,2,1,0,1,1,1
1,0,0,1,2,1,2,2,2,3,0,0,1,1,1,0,0,0,0,1
1,0,0,1,1,1,0,2,1,3,0,0,1,1,0,0,1,0,0,1
1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1
0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
