638.0,643.0,648.0,653.0,658.0,663.0,668.0,673.0,678.0,683.0,688.0,693.0,698.0,703.0,708.0,713.0,718.0,723.0,728.0,733.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0,3,2,1,1,1,0,0,0,0
0,0,0,1,1,0,1,0,0,0,2,3,2,1,0,0,1,0,0,0
0,0,1,2,3,1,0,0,3,0,2,3,1,1,0,0,1,2,0,0
0,2,1,2,1,3,2,0,3,4,2,3,1,1,2,3,2,4,1,2
1,1,3,1,1,5,3,3,4,4,3,3,1,2,3,4,4,6,2,3
2,2,3,1,2,5,3,4,5,3,2,3,1,3,3,5,4,4,3,3
4,3,3,3,2,3,3,5,6,4,4,2,4,4,5,6,5,6,4,2
5,5,2,5,3,4,5,5,4,4,3,3,5,5,6,6,8,6,5,5
4,3,6,4,3,3,6,4,4,2,5,6,4,6,8,6,6,7,6,5
4,5,7,4,4,4,5,4,4,3,4,5,5,5,5,7,6,8,7,8
8,6,7,4,3,4,5,6,2,2,5,5,7,5,5,5,6,6,7,6
8,5,5,2,4,5,5,4,3,4,5,4,5,4,5,5,4,5,7,4
7,4,4,3,3,6,6,5,3,4,4,5,3,4,3,3,3,3,5,3
5,3,3,3,2,3,6,5,4,4,5,4,3,2,2,3,3,1,4,3
3,3,2,2,3,3,4,5,3,5,4,3,3,2,2,3,2,0,1,1
3,2,1,1,2,2,4,5,2,4,4,2,2,2,2,2,1,0,0,1
1,2,1,2,1,1,2,1,1,2,3,2,2,1,2,0,0,0,0,0
1,1,1,2,1,1,0,1,1,1,0,2,2,1,0,0,0,0,0,0
1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,1
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
