505.0,510.0,515.0,520.0,525.0,530.0,535.0,540.0,545.0,550.0,555.0,560.0,565.0,570.0,575.0,580.0,585.0,590.0,595.0,600.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0
0,0,0,0,0,0,1,1,1,2,0,3,2,1,1,1,0,0,0,0
0,0,0,0,0,0,1,1,1,2,0,3,2,1,2,3,3,2,2,0
0,0,0,0,0,0,1,1,0,1,0,3,3,1,4,5,3,3,1,0
0,0,0,0,0,1,2,2,0,1,2,2,4,2,4,5,4,4,2,2
0,0,0,1,0,1,2,3,2,2,2,4,6,4,4,5,4,5,3,3
0,0,0,1,1,1,3,1,2,2,4,5,6,4,4,4,3,4,3,3
1,0,1,1,1,2,1,1,2,2,4,5,5,5,5,3,5,5,5,4
1,1,3,3,2,1,2,1,2,2,6,7,6,5,5,5,5,8,6,6
2,2,2,3,2,1,2,2,2,3,6,6,5,5,5,6,6,7,7,7
2,2,2,3,3,0,4,2,3,5,5,5,3,5,5,5,8,7,8,8
6,1,3,4,4,2,4,3,4,5,4,5,3,6,3,3,5,5,6,8
5,4,3,4,4,3,4,1,4,3,5,4,4,5,3,5,5,4,5,7
5,4,4,7,6,4,3,2,3,4,5,3,3,4,3,5,3,4,5,3
2,3,4,6,5,5,3,3,2,4,4,3,2,2,4,4,3,3,3,3
3,4,5,5,6,5,4,3,3,3,4,3,2,2,3,4,2,3,3,3
3,4,4,4,4,4,4,3,3,3,2,2,2,2,3,4,2,1,2,2
4,4,4,4,5,3,3,3,2,2,2,2,2,2,3,2,1,1,2,2
4,4,3,4,4,2,3,3,2,2,2,2,2,2,3,1,1,1,1,2
2,2,2,4,3,3,3,4,2,2,2,2,2,2,1,1,1,1,1,2
1,1,2,3,3,3,2,3,2,2,2,2,2,2,1,1,1,1,1,1
1,1,1,2,3,3,2,1,2,1,2,2,2,2,1,0,1,1,1,0
1,0,1,2,2,3,1,1,1,1,2,2,2,2,1,0,0,0,0,0
0,0,0,2,1,0,1,1,1,2,2,2,2,2,1,0,0,0,0,0
0,0,0,1,1,0,0,0,1,2,2,2,2,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,2,3,1,2,2,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,2,1,2,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0
